"A202100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 1/11/2024 1:34:33 PM (Eastern Standard Time)"
"WORKPLACE","Output","Workers 16 and Over",
"TAZ 00010259, District of Columbia, District of Columbia","Margin of Error","96"
"TAZ 00010262, District of Columbia, District of Columbia","Estimate","590"
"TAZ 00010262, District of Columbia, District of Columbia","Margin of Error","186"
"TAZ 00010264, District of Columbia, District of Columbia","Estimate","610"
"TAZ 00010264, District of Columbia, District of Columbia","Margin of Error","176"
"TAZ 00010265, District of Columbia, District of Columbia","Estimate","775"
"TAZ 00010265, District of Columbia, District of Columbia","Margin of Error","153"
"TAZ 00010266, District of Columbia, District of Columbia","Estimate","825"
"TAZ 00010266, District of Columbia, District of Columbia","Margin of Error","197"
"TAZ 00010267, District of Columbia, District of Columbia","Estimate","595"
"TAZ 00010267, District of Columbia, District of Columbia","Margin of Error","170"
"TAZ 00010268, District of Columbia, District of Columbia","Estimate","365"
"TAZ 00010268, District of Columbia, District of Columbia","Margin of Error","118"
"TAZ 00010269, District of Columbia, District of Columbia","Estimate","370"
"TAZ 00010269, District of Columbia, District of Columbia","Margin of Error","151"
"TAZ 00010272, District of Columbia, District of Columbia","Estimate","250"
"TAZ 00010272, District of Columbia, District of Columbia","Margin of Error","121"
"TAZ 00010273, District of Columbia, District of Columbia","Estimate","2,120"
"TAZ 00010273, District of Columbia, District of Columbia","Margin of Error","322"
"TAZ 00010274, District of Columbia, District of Columbia","Estimate","550"
"TAZ 00010274, District of Columbia, District of Columbia","Margin of Error","169"
"TAZ 00010275, District of Columbia, District of Columbia","Estimate","895"
"TAZ 00010275, District of Columbia, District of Columbia","Margin of Error","232"
"TAZ 00010276, District of Columbia, District of Columbia","Estimate","210"
"TAZ 00010276, District of Columbia, District of Columbia","Margin of Error","82"
"TAZ 00010278, District of Columbia, District of Columbia","Estimate","640"
"TAZ 00010278, District of Columbia, District of Columbia","Margin of Error","212"
"TAZ 00010279, District of Columbia, District of Columbia","Estimate","1,070"
"TAZ 00010279, District of Columbia, District of Columbia","Margin of Error","193"
"TAZ 00010280, District of Columbia, District of Columbia","Estimate","850"
"TAZ 00010280, District of Columbia, District of Columbia","Margin of Error","186"
"TAZ 00010281, District of Columbia, District of Columbia","Estimate","480"
"TAZ 00010281, District of Columbia, District of Columbia","Margin of Error","135"
"TAZ 00010283, District of Columbia, District of Columbia","Estimate","15,225"
"TAZ 00010283, District of Columbia, District of Columbia","Margin of Error","850"
"TAZ 00010284, District of Columbia, District of Columbia","Estimate","6,620"
"TAZ 00010284, District of Columbia, District of Columbia","Margin of Error","466"
"TAZ 00010285, District of Columbia, District of Columbia","Estimate","3,080"
"TAZ 00010285, District of Columbia, District of Columbia","Margin of Error","342"
"TAZ 00010289, District of Columbia, District of Columbia","Estimate","1,685"
"TAZ 00010289, District of Columbia, District of Columbia","Margin of Error","287"
"TAZ 00010290, District of Columbia, District of Columbia","Estimate","1,370"
"TAZ 00010290, District of Columbia, District of Columbia","Margin of Error","242"
"TAZ 00010291, District of Columbia, District of Columbia","Estimate","300"
"TAZ 00010291, District of Columbia, District of Columbia","Margin of Error","101"
